Kialakítás,SIM kártya típusa,Processzor típusa,Processzormagok száma,Processzor sebessége,RAM,Belső memória mérete,Memória bővíthető,URL,Operációs rendszer,Memóriakártya típusa,Kijelzők száma,Kijelző mérete,Kijelző felbontása,Kijelző technológia
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/oneplus/12-5g-256gb-12gb-ram-dual-p1032009406/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,4 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-13-mini-128gb-p706181736/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-plus-128gb-p852631476/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G4GPU: Mali-G715 MC7,8 magos,3.1 GHz,12 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-9-5g-128gb-12gb-ram-dual-p1114773964/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.24 GHz,4 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-se-2022-256gb-p778300014/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 2400eGPU: Samsung Xclipse 940,10 magos,3.11 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-fe-5g-128gb-8gb-ram-sm-s721b-p1130866519/#termek-leiras,,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 7300XGPU: Mali-G615 MC2,8 magos,2.5 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/razr-50-5g-256gb-8gb-ram-dual-p1092328648/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 2400GPU: Xclipse 940,10 magos,3.3 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-5g-256gb-8gb-ram-dual-sm-s921b-p1038739054/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.36 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s23-5g-256gb-8gb-ram-dual-sm-s911-p915887118/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2200GPU: Xclipse 920,8 magos,2.8 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s22-5g-128gb-8gb-ram-dual-sm-s901b-p766823406/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-128gb-p852630666/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.36 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s23-5g-128gb-8gb-ram-dual-sm-s911b-p920648652/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 2400eGPU: Samsung Xclipse 940,10 magos,3.11 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-fe-5g-256gb-8gb-ram-dual-sm-s721b-p1130866537/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 9300+GPU: Immortalis-G720 MC12,8 magos,3.4 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/14t-pro-5g-512gb-12gb-ram-dual-p1130866618/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A14 Bionic,6 magos,3.01 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-12-pro-128gb-p595768512/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2200GPU: Xclipse 920,8 magos,2.8 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s22-5g-256gb-8gb-ram-dual-sm-s901b-p766823622/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G3GPU: Immortalis-G715s MC10,8 magos,3 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-8-5g-128gb-8gb-ram-dual-p1005433237/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 2400GPU: Xclipse 940,10 magos,3.3 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-5g-128gb-8gb-ram-dual-sm-s921b-p1038739090/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 7+ Gen 3GPU: Adreno 732,8 magos,2.8 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/oneplus/nord-4-5g-512gb-16gb-ram-dual-p1109845759/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 7050 MT6877VGPU: Mali-G68 MC4,8 magos,2.6 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/ulefone/power-armor-18t-ultra-p1024248538/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2200GPU: Xclipse 920,8 magos,2.8 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s23-fe-5g-256gb-8gb-ram-dual-sm-s711b-p1009092493/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G3GPU: Immortalis-G715s MC10,8 magos,3 GHz,12 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-8-pro-5g-128gb-12gb-ram-dual-p1005432151/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A14 Bionic,6 magos,3.01 GHz,4 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-12-128gb-p597387786/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 1380GPU: Mali-G68 MP5,8 magos,2.4 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-a54-5g-256gb-8gb-ram-dual-sm-a546b-p938466762/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.24 GHz,4 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-se-2022-128gb-p778300008/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8+ Gen 1GPU: Adreno 730,8 magos,3 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/poco-f5-pro-5g-256gb-12gb-ram-dual-p960726516/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 9200+GPU: Immortalis-G715 MC11,8 magos,3.35 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/13t-pro-5g-512gb-12gb-ram-dual-p995127973/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 7 Gen 3GPU: Adreno 720,8 magos,2.63 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/edge-50-pro-5g-512gb-12gb-ram-dual-p1065394042/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 2400eGPU: Samsung Xclipse 940,10 magos,3.11 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-fe-5g-128gb-8gb-ram-dual-sm-s721b-p1130866522/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2200GPU: Xclipse 920,8 magos,2.8 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s23-fe-5g-128gb-8gb-ram-dual-sm-s711b-p1009096285/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,4 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-13-128gb-p706181766/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8s Gen 3GPU: Adreno 735,8 magos,3 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/200-pro-5g-512gb-12gb-ram-dual-p1088472895/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A14 Bionic,6 magos,3.01 GHz,4 GB,64 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-12-mini-64gb-p595768461/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2100GPU: Mali-G78 MP14,8 magos,2.9 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s21-128gb-8gb-ram-dual-g991-p621996924/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 695GPU: Adreno 619,8 magos,2.2 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/redmi-note-11-pro-5g-128gb-6gb-ram-dual-p726022254/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.2 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/poco-f6-pro-5g-512gb-12gb-ram-dual-p1082085295/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 8020GPU: Mali-G77 MC9,8 magos,2.6 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/ulefone/armor-23-ultra-p1038216310/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A14 Bionic,6 magos,3.01 GHz,4 GB,64 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-12-64gb-p595768452/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 865GPU: Adreno 650,8 magos,2.84 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s20-fe-5g-128gb-6gb-ram-dual-g781-p591850137/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 6300GPU: Mali-G57 MC2,8 magos,2.4 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/ulefone/armor-27t-pro-p1112829988/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 8300 UltraGPU: Mali G615-MC6,8 magos,3.4 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/14t-5g-512gb-12gb-ram-dual-p1130866750/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 1GPU: Adreno 730,8 magos,3 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/12-pro-5g-256gb-12gb-ram-dual-p768661350/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 7 Gen 1 AEGPU: Adreno 644,8 magos,2.5 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/edge-50-5g-512gb-12gb-ram-dual-p1125644104/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A13 Bionic,6 magos,2.66 GHz,4 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-11-128gb-p497417565/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A13 Bionic,6 magos,2.66 GHz,4 GB,64 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-11-64gb-p497417526/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A13 Bionic,6 magos,2.66 GHz,3 GB,64 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-se-2020-64gb-p550338258/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8+ Gen 1GPU: Adreno 730,8 magos,3.19 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/12t-pro-5g-256gb-8gb-ram-dual-p867718308/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.24 GHz,4 GB,64 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-se-2022-64gb-p776873025/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 7s Gen 2GPU: Adreno 710,8 magos,2.4 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/realme/12-pro-5g-512gb-12gb-ram-dual-p1058311534/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 8300 UltraGPU: Mali G615-MC6,8 magos,3.4 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/14t-5g-256gb-12gb-ram-dual-p1130866744/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 7 Gen 3GPU: Adreno 720,8 magos,2.63 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/200-5g-256gb-8gb-ram-dual-p1088472928/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A12 Bionic,6 magos,2.49 GHz,3 GB,64 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-xr-64gb-p426425616/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 8200 UltraGPU: Mali-G610 MC6,8 magos,3.1 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/13t-5g-256gb-12gb-ram-dual-p1003208344/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G3GPU: Immortalis-G715s MC10,9 magos,3 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-8a-5g-128gb-8gb-ram-dual-p1078166455/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 888GPU: Adreno 660,8 magos,2.84 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s21-fe-5g-128gb-6gb-ram-dual-sm-g990b-p755183625/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Mediatek Dimensity 1080 MT6877VGPU: Mali-G68 MC4,8 magos,2.6 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-a34-5g-256gb-8gb-ram-dual-a346-p938466735/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 7300GPU: Mali-G615 MC2,8 magos,2.5 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/edge-50-neo-5g-512gb-12gb-ram-dual-p1120982275/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 778GGPU: Adreno 642L,8 magos,2.4 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-xcover6-pro-5g-128gb-6gb-ram-dual-sm-g736b-p826330596/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 6 Gen 1GPU: Adreno 710,8 magos,2.2 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/sony/xperia-10-vi-5g-128gb-8gb-ram-dual-p1080034183/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 1480GPU: Xclipse 530,8 magos,2.75 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-a55-5g-256gb-8gb-ram-dual-sm-a556-p1056653359/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8+ Gen 1GPU: Adreno 730,8 magos,3.19 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/thinkphone-5g-256gb-8gb-ram-dual-p925093842/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8s Gen 3GPU: Adreno 735,8 magos,3 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/poco-f6-5g-512gb-12gb-ram-dual-p1082085292/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 7s Gen 2GPU: Adreno 710,8 magos,2.4 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/edge-50-fusion-5g-256gb-8gb-ram-dual-p1074111355/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 7 Gen 3GPU: Adreno 720,8 magos,2.63 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/200-5g-512gb-12gb-ram-dual-p1088476126/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 8200 UltraGPU: Mali-G610 MC6,8 magos,3.1 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/13t-5g-256gb-8gb-ram-dual-p994153321/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 1GPU: Adreno 730,8 magos,3 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/12-5g-256gb-8gb-ram-dual-p768661419/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8s Gen 3GPU: Adreno 735,8 magos,3 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/poco-f6-5g-256gb-8gb-ram-dual-p1082085298/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 7200 UltraGPU: Mali-G610 MC4,8 magos,2.8 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/redmi-note-13-pro-5g-512gb-12gb-ram-dual-p1032009361/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google TensorGPU: Mali-G78 MP20,8 magos,2.8 GHz,12 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-6-pro-5g-128gb-12gb-ram-dual-p721145034/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G2GPU: Mali-G710 MP7,8 magos,2.85 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-7a-5g-128gb-8gb-ram-dual-p959065182/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 7200 ProGPU: Mali-G610 MC4,8 magos,2.8 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/nothing/phone-2a-5g-256gb-12gb-ram-dual-p1055563102/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 930GPU: IMG BXM-8-256,8 magos,2.2 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/caterpillar/s75-5g-128gb-6gb-ram-dual-p933898197/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 7 Gen 1 Accelerated EditionGPU: Adreno 644,8 magos,2.5 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/90-5g-256gb-8gb-ram-dual-p977733771/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 9000 MT6983GPU: Mali-G710 MC10,8 magos,3.05 GHz,16 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/oneplus/nord-3-5g-256gb-16gb-ram-dual-p977360190/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 7s Gen 2GPU: Adreno 710,8 magos,2.4 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/redmi-note-13-pro-5g-512gb-12gb-ram-dual-p1031770030/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 8300 UltraGPU: Mali G615-MC6,8 magos,3.35 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/poco-x6-pro-5g-512gb-12gb-ram-dual-p1038429796/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 1480GPU: Xclipse 530,8 magos,2.75 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-a55-5g-128gb-8gb-ram-dual-sm-a556-p1056653431/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Helio G99 UltraGPU: Mali-G57 MC2,8 magos,2.2 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/redmi-note-13-pro-512gb-12gb-ram-dual-p1037326627/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 7 Gen 1 Accelerated EditionGPU: Adreno 644,8 magos,2.5 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/90-5g-512gb-12gb-ram-dual-p977733717/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 7s Gen 2GPU: Adreno 710,8 magos,2.4 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/edge-50-fusion-5g-512gb-12gb-ram-dual-p1070517673/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 695GPU: Adreno 619,8 magos,2.2 GHz,4 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-a23-5g-128gb-4gb-ram-dual-sm-a236-p856560441/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 7200 UltraGPU: Mali-G610 MC4,8 magos,2.8 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/redmi-note-13-pro-5g-256gb-8gb-ram-dual-p1035417700/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 1380GPU: Mali-G68 MP5,8 magos,2.4 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-a54-5g-128gb-8gb-ram-dual-sm-a546b-p938466729/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Helio G96GPU: Mali-G57 MC2,8 magos,2.05 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/ulefone/armor-24-p1016110810/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: MediaTek Dimensity 7300GPU: Mali-G615 MC2,8 magos,2.5 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/edge-50-neo-5g-256gb-8gb-ram-dual-p1120982257/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 1380GPU: Mali-G68 MP5,8 magos,2.4 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-a35-5g-256gb-8gb-ram-dual-sm-a356-p1057835020/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 8100-UltraGPU: Mali-G610 MC6,8 magos,2.85 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/12t-5g-256gb-8gb-ram-dual-p869910399/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 7200 ProGPU: Mali-G610 MC4,8 magos,2.8 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/nothing/phone-2a-5g-128gb-8gb-ram-dual-p1055563351/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 8300 UltraGPU: Mali G615-MC6,8 magos,3.35 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/poco-x6-pro-5g-256gb-8gb-ram-dual-p1038198283/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Dimensity 8020 MT6891GPU: Mali-G77 MC9,8 magos,2.6 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/infinix/zero-30-5g-256gb-12gb-ram-dual-p1026747136/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 1280GPU: Mali-G68,8 magos,2.4 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-a53-5g-128gb-6gb-ram-dual-sm-a536b-p783331599/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM,SoC/CPU: MediaTek Helio G99 UltimateGPU: Mali-G57 MC2,8 magos,2.2 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/infinix/note-40-pro-256gb-12gb-ram-dual-p1072236424/#termek-leiras,Android,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 7s Gen 2GPU: Adreno 710,8 magos,2.4 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/redmi-note-13-pro-5g-256gb-8gb-ram-dual-p1031769955/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Mediatek Helio G88GPU: Mali-G52 MC2,8 magos,2 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/x8a-128gb-6gb-ram-dual-p925094544/#termek-leiras,,,,,,
